PLAYER_NAME,team,GP,G_PERCENT,MIN,MPG,num_times_stolen_from_rookie,num_times_fouled_by_rookie,num_times_blocked_rookie,positive_events_against_rookies_total,num_times_stolen_by_rookie,num_times_fouled_rookie,num_times_blocked_by_rookie,negative_events_against_rookies_total,num_times_stolen_from_rookie_per_36,num_times_fouled_by_rookie_per_36,num_times_blocked_rookie_per_36,positive_events_against_rookies_total_per_36,num_times_stolen_by_rookie_per_36,num_times_fouled_rookie_per_36,num_times_blocked_by_rookie_per_36,negative_events_against_rookies_total_per_36,net_events_against_rookies_total_per_36
Tyler Herro,MIA,11,0.19642857142857142,348.643333333333,31.694848484848453,3,2,0,5,0,0,0,0,0.3097721644851953,0.20651477632346354,0,0.5162869408086589,0,0,0,0,0.5162869408086589
Keldon Johnson,SAS,54,1,1289.10833333333,23.872376543209814,8,6,2,16,0,5,4,9,0.22341023834304133,0.167557678757281,0.05585255958576033,0.44682047668608266,0,0.13963139896440083,0.11170511917152066,0.2513365181359215,0.19548395855016115
Kevin Porter Jr.,MIL,28,0.5283018867924528,943.245,33.68732142857143,3,4,1,8,5,0,3,8,0.11449835408616,0.15266447211488002,0.038166118028720004,0.30532894422976004,0.19083059014360004,0,0.11449835408616,0.30532894422976004,0
Nic Claxton,BKN,50,0.9433962264150944,1464.45166666667,29.2890333333334,2,8,9,19,3,3,3,9,0.049165159655889294,0.19666063862355718,0.22124321845150183,0.46706901673094825,0.07374773948383394,0.07374773948383394,0.07374773948383394,0.22124321845150183,0.24582579827944642
Luguentz Dort,OKC,45,0.8035714285714286,1246.23166666667,27.69403703703711,0,2,2,4,1,3,2,6,0,0.05777416986408344,0.05777416986408344,0.11554833972816687,0.02888708493204172,0.08666125479612516,0.05777416986408344,0.17332250959225032,-0.057774169864083444
Daniel Gafford,DAL,38,0.7037037037037037,813.463333333333,21.406929824561395,4,6,9,19,1,4,0,5,0.17702088600592533,0.26553132900888804,0.39829699351333203,0.8408492085281454,0.04425522150148133,0.17702088600592533,0,0.22127610750740667,0.6195731010207387
Quentin Grimes,PHI,48,0.8888888888888888,1434.17666666667,29.878680555555622,2,9,2,13,7,2,2,11,0.050203020083532134,0.2259135903758946,0.050203020083532134,0.32631963054295887,0.17571057029236245,0.050203020083532134,0.050203020083532134,0.27611661045942676,0.05020302008353211
Ty Jerome,MEM,6,0.11320754716981132,121.415,20.235833333333336,1,0,0,1,0,0,0,0,0.2965037268871227,0,0,0.2965037268871227,0,0,0,0,0.2965037268871227
Cameron Johnson,DEN,31,0.5636363636363636,942.471666666667,30.402311827957,1,5,1,7,3,4,1,8,0.03819743475931194,0.1909871737965597,0.03819743475931194,0.26738204331518356,0.1145923042779358,0.15278973903724777,0.03819743475931194,0.30557947807449554,-0.03819743475931198
Jordan Poole,NOP,28,0.5,709.908333333333,25.353869047619035,0,2,0,2,4,5,3,12,0,0.10142154503515717,0,0.10142154503515717,0.20284309007031434,0.253553862587893,0.15213231755273576,0.608529270210943,-0.5071077251757858
Neemias Queta,BOS,51,0.9444444444444444,1279.565,25.08950980392157,2,3,8,13,2,5,3,10,0.05626912270967086,0.0844036840645063,0.22507649083868345,0.3657492976128606,0.05626912270967086,0.14067280677417715,0.0844036840645063,0.2813456135483543,0.08440368406450632
Naz Reid,MIN,56,1,1468.04,26.215,3,3,3,9,3,10,2,15,0.07356747772540258,0.07356747772540258,0.07356747772540258,0.22070243317620775,0.07356747772540258,0.24522492575134192,0.04904498515026839,0.3678373886270129,-0.14713495545080513
Matisse Thybulle,POR,4,0.07142857142857142,48.7666666666667,12.191666666666675,1,0,0,1,1,0,0,1,0.7382091592617903,0,0,0.7382091592617903,0.7382091592617903,0,0,0.7382091592617903,0
Grant Williams,CHA,14,0.2545454545454545,266.058333333333,19.00416666666664,0,1,0,1,0,1,0,1,0,0.13530867291007628,0,0.13530867291007628,0,0.13530867291007628,0,0.13530867291007628,0
John Konchar,UTA,34,0.6071428571428571,512.448333333333,15.07200980392156,2,4,3,9,3,4,2,9,0.14050196930422262,0.28100393860844525,0.21075295395633392,0.6322588618690018,0.21075295395633392,0.28100393860844525,0.14050196930422262,0.6322588618690018,0
Garrison Mathews,IND,15,0.2727272727272727,196.1,13.073333333333332,1,1,1,3,0,3,0,3,0.18357980622131564,0.18357980622131564,0.18357980622131564,0.5507394186639469,0,0.5507394186639469,0,0.5507394186639469,0
Dean Wade,CLE,43,0.7818181818181819,980.365,22.79918604651163,2,3,1,6,2,0,0,2,0.07344203434435134,0.110163051516527,0.03672101717217567,0.220326103033054,0.07344203434435134,0,0,0.07344203434435134,0.14688406868870266
Javonte Green,DET,53,1,978.525,18.462735849056603,5,3,3,11,3,5,1,9,0.1839503334099793,0.11037020004598758,0.11037020004598758,0.4046907335019545,0.11037020004598758,0.1839503334099793,0.036790066681995866,0.33111060013796273,0.07358013336399177
Anthony Edwards,MIN,46,0.8214285714285714,1632.07666666667,35.479927536231955,6,17,4,27,9,3,1,13,0.13234672390798607,0.37498238440596054,0.08823114927199072,0.5955602575859373,0.1985200858619791,0.06617336195399304,0.02205778731799768,0.28675123513396983,0.3088090224519675
LaMelo Ball,CHA,45,0.8181818181818182,1246.49333333333,27.699851851851776,4,5,1,10,11,4,5,20,0.11552408356242076,0.14440510445302596,0.02888102089060519,0.2888102089060519,0.3176912297966571,0.11552408356242076,0.14440510445302596,0.5776204178121038,-0.2888102089060519
James Wiseman,IND,4,0.07272727272727272,58.4616666666667,14.615416666666675,0,0,1,1,0,0,1,1,0,0,0.6157881232716591,0.6157881232716591,0,0,0.6157881232716591,0.6157881232716591,0
Deni Avdija,POR,46,0.8214285714285714,1576.575,34.27336956521739,5,19,2,26,8,7,8,23,0.11417154274297131,0.433851862423291,0.04566861709718853,0.5936920222634509,0.18267446838875412,0.15984015984015984,0.18267446838875412,0.525189096617668,0.06850292564578286
Onyeka Okongwu,ATL,50,0.8928571428571429,1596.14666666667,31.9229333333334,4,8,4,16,2,6,4,12,0.09021727326644985,0.1804345465328997,0.09021727326644985,0.3608690930657994,0.045108636633224924,0.13532590989967477,0.09021727326644985,0.27065181979934955,0.09021727326644985
